submitted_on,district,community,people_using,photo_water_point,latitude,longitude,depth,currently_submerged,likely_submerged,functional_status,water_pump_possible,problems_reported,water_quality_problems,civil_works_problems,photo_civil_works,pump_problems,photo_pump_problems,pump_operational_feel,time_to_pump_20l,strokes_to_yield,sediment_presence,water_quality_tests,electrical_conductivity,conductivity_units,total_dissolved_solids,ph,temperature_c,turbidity_tube,turbidity_tube_units,turbidity_electronic_ntu,comments,microbiological_test,test_method,sample_type,sample_date,color_change_mpn,color_change_upper95,color_change_health,color_change_image
4/5/2019,Nsanje,Sandram village,0,https://api.mwater.co/v3/images/06b48d45a7e447ba8f95d763f9820ea5; https://api.mwater.co/v3/images/26cc941b0cc248eeb53189bba709e7d2,-16.4650238,35.182799,48,No,Yes,Not functional,NA,"Soil erosion or collapse around the water point, Damage or problem with pump",NA,NA,NA,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/c8377d0c3efa43c188aab9fd89cc2fe1,Handle cannot be moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No water coming out of the borehole, it hasn't been functional for about a year",NA,NA,NA,NA,NA,NA,NA,NA
4/7/2019,Nsanje,Khope scho,358,https://api.mwater.co/v3/images/0ab79f294201470395abbe65e637f8bf; https://api.mwater.co/v3/images/a27544c1609f40fcb68ace6b53fc2c53,-16.64987201,35.192752,NA,No,No,Partially functional but in need of repair,Yes ,"Water quality, Damage to civil works - platform, well head, riser etc","Bad taste, Salinity / saltiness","Platform cracked or damaged , Pedestal cracked or damaged, Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/af75be3379634e9a8e9a644c9bb64330,NA,NA,"Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times, Can only be moved with extreme force, Significant sideways movement on handle (loose/wobbly)",204.214,5,Present,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter), Microbiological or fecal indicator test",9.15,μS / cm,NA,7.8,35.7,5,JTU,NA,The bolehole is totally broken down when pumping water so many rickadges making water difficult to feel the 20 little backet,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/6/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/45608ae9ae8f47189ad3e3914541b2ee
4/7/2019,Nsanje,Khope school ,1065,https://api.mwater.co/v3/images/37e765754f3c4785a030a7339c5fa4a3; https://api.mwater.co/v3/images/2f1d237eb79e4dfc9f10e09ba5a13a91,-16.64930221,35.191956,38.7,No,No,Partially functional but in need of repair,Yes ,Water quality,"Bad taste, Salinity / saltiness",NA,NA,NA,NA,Very light,58.956,2,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",4.36,mS / cm,NA,7.6,33.5,5,JTU,NA,The person I talked to complained about salty water said they used the water just for washing ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/68e2c5cada9b4d3186f4ebde835a5f2f
4/8/2019,Nsanje,Phokera camp,1568,https://api.mwater.co/v3/images/98708696ad6140b4bda7d1c5f48ce11f; https://api.mwater.co/v3/images/a83f26c740b44db996fb73f19ae5d78f; https://api.mwater.co/v3/images/69c911efff234e08929030728d5b6bf1,-16.6321896,35.158028,24,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/c317e70a6eda46e1a0ca9323bc211b8f,NA,NA,Normal/satisfactory ,64.05,1,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature, pH",5.16,mS / cm,NA,7.8,31.4,5,JTU,NA,The borehole is in Gvh Mnembe and the borehole was constructed in 2014 by action aid.Its not gvh mlolo.,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/f693c11018fd4c63b4595b488847577b
4/8/2019,Nsanje,Chilimba camp,1210,https://api.mwater.co/v3/images/64abb6ec70124f56b29955e5baf78cbf,-16.6212318,35.148781,54,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc",NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/496203164da048ecb556cb295a4b487a,NA,NA,Normal/satisfactory ,67.141,1,Present,"Electrical conductivity (EC), Temperature, Turbidity (by Turbidity Tube), pH",1863,μS / cm,NA,7.8,34,5,JTU,NA,The water is not salty ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/4/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/fb02beed1531440d909d0feb7cac2196
4/8/2019,Nsanje,Sandram camp,680,https://api.mwater.co/v3/images/09f63aae5b5e4c2581fa27dd53123770; https://api.mwater.co/v3/images/81a06cb568c1479db28e290bd4f323ca,-16.4642825,35.184281,42,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged, Platform cracked or damaged ",https://api.mwater.co/v3/images/7af4f0112cd54999a30e2a0819fc0f5c,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",82.1,5,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",1771,μS / cm,NA,7.5,29.8,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/c0d934f5db2b430692418c282dd771a7
4/8/2019,Nsanje,Chapinga Camp but borehole located in Fole village ,2600,https://api.mwater.co/v3/images/3db742f20c0b4e889d9dcc6799804ecc; https://api.mwater.co/v3/images/138d903a47f14db99ad2461b36b3cf43; https://api.mwater.co/v3/images/2894d3aec5654e0bb825e682c53587ed,-16.4281327,35.162682,30,No,No,Functional,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,Normal/satisfactory ,51.211,1,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature, pH",1012,μS / cm,NA,7.3,30.3,5,JTU,NA,Water looks very clear but few dark particles could be seen in the water,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/4ab35291b3534fbba4faefb66ef748b1
4/9/2019,Nsanje,Old lalanje camp,351,https://api.mwater.co/v3/images/d749c2c810af401a996bbe49e9977288,-16.50557582,35.051515,NA,No,No,Not functional,NA,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump","Bad taste, Bad colour, Salinity / saltiness","Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/9d0580df1aca4f3abd88747ac8081108,NA,https://api.mwater.co/v3/images/afd1e06ae8df4fc19170bb3fb9001cdf,Very light,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,The bolehole is no longer working as such no test were done at the site,NA,NA,NA,NA,NA,NA,NA,NA
4/9/2019,Nsanje,Old lalanje school ,NA,https://api.mwater.co/v3/images/63f31ba405a34a51b562a81d85f88753,-16.5071314,35.052895,NA,No,Yes,Partially functional but in need of repair,Yes ,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump",Bad taste,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged, Faulty drainage ",https://api.mwater.co/v3/images/3f53357b2a6b4192ab2b5d74e5860c6c,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/4dd387d433a54d3da05ec69d13d4baa2,Very light,59.43,1,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Microbiological or fecal indicator test",4.96,mS / cm,NA,7.2,31.3,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/3/2019,NA,NA,NA,NA
4/9/2019,Nsanje,Ntolongo  2,250,https://api.mwater.co/v3/images/d386b434973c488dbffaa12e476d17b7,-16.6946965,35.232879,30,No,Yes,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/ba1b9df5d4e44d579c93ee3b7f28d522,Damage to pump head or handle,https://api.mwater.co/v3/images/5a11502b0b36479aa0c3f86843bbbd6a,"Significant friction (very stiff) on up stroke, Significant friction (very stiff) on down stroke, Can only be moved with extreme force",85.16,3,Absent,"Electrical conductivity (EC), Temperature, Turbidity (by Turbidity Tube), pH, Turbidity (by electronic turbidimeter)",2423,μS / cm,NA,7.4,32.4,5,JTU,NA,NA,Thermotolerant coliform (or Fecal coliform),Aquagenx Compartment Bag Test (CBT),Point of collection,4/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/7e8b30a440ac4b25a30e3e640c7224f3
